profile,storage,consumers,producers,run,tps,p50_ms,p95_ms,p99_ms,delivered,elapsed_s,preload,msg_size_bytes,producer_errors,consumer_errors
scan,ondisk,1,0,1,326.09,15416.57,28131.26,29316.22,10000,30.666,10000,64,0,0
scan,ondisk,1,0,2,324.91,15149.48,28210.95,29481.15,10000,30.778,10000,64,0,0
scan,ondisk,1,0,3,317.18,15529.16,29017.42,30200.64,10000,31.528,10000,64,0,0
scan,ondisk,2,0,1,556.48,8786.80,16163.37,16813.58,10000,17.970,10000,64,0,0
scan,ondisk,2,0,2,544.00,9157.59,16595.90,17240.06,10000,18.382,10000,64,0,0
scan,ondisk,2,0,3,541.44,9354.33,16675.07,17307.01,10000,18.469,10000,64,0,0
scan,ondisk,4,0,1,891.36,5474.76,9685.98,10132.12,10000,11.219,10000,64,0,0
scan,ondisk,4,0,2,845.97,5578.40,10261.21,10726.28,10000,11.821,10000,64,0,0
scan,ondisk,4,0,3,872.87,5435.03,9920.90,10355.86,10000,11.456,10000,64,0,0
scan,ondisk,8,0,1,1270.02,3603.63,6490.00,6797.22,10000,7.874,10000,64,0,0
scan,ondisk,8,0,2,1323.17,3450.56,6212.57,6476.30,10000,7.558,10000,64,0,0
scan,ondisk,8,0,3,1355.11,3207.45,6072.45,6317.50,10000,7.379,10000,64,0,0
scan,ondisk,16,0,1,1597.06,2839.37,4991.68,5210.35,10000,6.262,10000,64,0,0
scan,ondisk,16,0,2,1646.41,2716.79,4802.51,4989.23,10000,6.074,10000,64,0,0
scan,ondisk,16,0,3,1586.10,2939.70,5052.08,5273.43,10000,6.305,10000,64,0,0
scan,inmemory,1,0,1,277.51,18390.36,33144.32,34467.79,10000,36.035,10000,64,0,0
scan,inmemory,1,0,2,277.86,18292.33,33078.02,34442.21,10000,35.989,10000,64,0,0
scan,inmemory,1,0,3,284.86,18253.16,32273.06,33594.47,10000,35.105,10000,64,0,0
scan,inmemory,2,0,1,435.48,11636.65,20709.93,21529.54,10000,22.963,10000,64,0,0
scan,inmemory,2,0,2,427.94,12127.19,21070.32,21998.57,10000,23.368,10000,64,0,0
scan,inmemory,2,0,3,443.77,11491.98,20396.14,21208.60,10000,22.534,10000,64,0,0
scan,inmemory,4,0,1,682.66,8095.46,12866.38,13304.40,10000,14.649,10000,64,0,0
scan,inmemory,4,0,2,644.35,7875.96,13712.47,14190.95,10000,15.519,10000,64,0,0
scan,inmemory,4,0,3,673.95,8059.71,13014.67,13531.29,10000,14.838,10000,64,0,0
scan,inmemory,8,0,1,471.07,11699.00,18928.90,19711.51,10000,21.228,10000,64,0,0
scan,inmemory,8,0,2,501.53,9923.63,18130.39,18631.03,10000,19.939,10000,64,0,0
scan,inmemory,8,0,3,546.49,10898.48,16678.79,17007.78,10000,18.298,10000,64,0,0
scan,inmemory,16,0,1,483.64,13353.76,19040.67,19448.35,10000,20.676,10000,64,0,0
scan,inmemory,16,0,2,458.05,13290.27,20011.22,20495.90,10000,21.832,10000,64,0,0
scan,inmemory,16,0,3,464.10,14608.95,20115.57,20644.02,10000,21.547,10000,64,0,0
